ADM2_PCODE,ADM_PCODE,education_count,hospitals_count,primary_healthcare_count
IQG02Q01,IQG02Q01,93,6,16
IQG05Q01,IQG05Q01,23,1,5
IQG12Q01,IQG12Q01,2,1,0
IQG08Q01,IQG08Q01,488,78,200
IQG09Q01,IQG09Q01,37,12,6
IQG14Q01,IQG14Q01,3,0,1
IQG15Q02,IQG15Q02,4,12,6
IQG02Q02,IQG02Q02,597,89,256
IQG17Q01,IQG17Q01,4,5,3
IQG16Q01,IQG16Q01,14,3,3
IQG05Q02,IQG05Q02,127,20,39
IQG01Q01,IQG01Q01,117,13,46
IQG02Q03,IQG02Q03,17,3,3
IQG18Q01,IQG18Q01,34,7,10
IQG15Q03,IQG15Q03,74,10,21
IQG05Q03,IQG05Q03,134,5,5
IQG07Q01,IQG07Q01,93,8,16
IQG15Q04,IQG15Q04,3,5,0
IQG13Q01,IQG13Q01,53,5,5
IQG07Q02,IQG07Q02,164,59,75
IQG12Q02,IQG12Q02,85,4,32
IQG08Q02,IQG08Q02,346,46,90
IQG14Q03,IQG14Q03,152,17,34
IQG01Q02,IQG01Q02,12,1,1
IQG08Q03,IQG08Q03,482,91,331
IQG10Q01,IQG10Q01,44,6,6
IQG03Q01,IQG03Q01,33,1,3
IQG04Q01,IQG04Q01,128,12,41
IQG18Q02,IQG18Q02,88,16,48
IQG08Q04,IQG08Q04,63,17,29
IQG07Q03,IQG07Q03,21,4,11
IQG08Q05,IQG08Q05,127,6,15
IQG14Q04,IQG14Q04,8,1,3
IQG04Q02,IQG04Q02,21,7,6
IQG14Q05,IQG14Q05,7,2,4
IQG02Q04,IQG02Q04,79,5,8
IQG15Q05,IQG15Q05,551,95,233
IQG10Q02,IQG10Q02,66,5,14
IQG07Q04,IQG07Q04,59,12,15
IQG04Q03,IQG04Q03,427,57,384
IQG18Q03,IQG18Q03,22,10,12
IQG17Q04,IQG17Q04,306,61,111
IQG02Q05,IQG02Q05,130,9,23
IQG01Q03,IQG01Q03,305,16,19
IQG17Q02,IQG17Q02,98,8,20
IQG08Q06,IQG08Q06,391,115,249
IQG03Q02,IQG03Q02,65,6,5
IQG01Q04,IQG01Q04,2,2,0
IQG03Q03,IQG03Q03,7,0,0
IQG03Q04,IQG03Q04,157,30,37
IQG05Q04,IQG05Q04,47,5,0
IQG17Q03,IQG17Q03,57,15,21
IQG15Q06,IQG15Q06,25,7,14
IQG16Q02,IQG16Q02,11,1,11
IQG06Q01,IQG06Q01,308,126,172
IQG18Q04,IQG18Q04,65,9,27
IQG08Q07,IQG08Q07,450,43,130
IQG11Q01,IQG11Q01,7,3,5
IQG02Q06,IQG02Q06,191,26,51
IQG14Q02,IQG14Q02,6,2,2
IQG01Q05,IQG01Q05,7,4,1
IQG15Q01,IQG15Q01,100,9,18
IQG18Q05,IQG18Q05,3,1,9
IQG16Q04,IQG16Q04,23,14,4
IQG10Q03,IQG10Q03,20,4,3
IQG10Q04,IQG10Q04,199,31,108
IQG16Q03,IQG16Q03,24,10,3
IQG06Q02,IQG06Q02,69,17,4
IQG13Q02,IQG13Q02,34,1,1
IQG06Q03,IQG06Q03,52,9,9
IQG13Q03,IQG13Q03,15,4,1
IQG06Q04,IQG06Q04,9,3,0
IQG09Q02,IQG09Q02,199,72,41
IQG11Q02,IQG11Q02,738,179,337
IQG01Q06,IQG01Q06,1,5,0
IQG06Q05,IQG06Q05,72,21,20
IQG01Q07,IQG01Q07,60,6,4
IQG06Q06,IQG06Q06,88,16,19
IQG12Q03,IQG12Q03,953,85,582
IQG10Q05,IQG10Q05,62,9,7
IQG10Q06,IQG10Q06,34,4,3
IQG13Q04,IQG13Q04,457,43,121
IQG11Q03,IQG11Q03,28,14,16
IQG11Q04,IQG11Q04,9,3,0
IQG06Q07,IQG06Q07,15,3,2
IQG06Q08,IQG06Q08,40,5,3
IQG14Q06,IQG14Q06,6,4,1
IQG06Q09,IQG06Q09,70,15,9
IQG11Q05,IQG11Q05,139,42,16
IQG16Q05,IQG16Q05,28,12,7
IQG11Q06,IQG11Q06,125,29,19
IQG06Q10,IQG06Q10,10,4,0
IQG02Q07,IQG02Q07,125,3,18
IQG15Q07,IQG15Q07,36,29,2
IQG09Q03,IQG09Q03,61,13,19
IQG17Q05,IQG17Q05,59,15,10
IQG15Q08,IQG15Q08,89,18,25
IQG16Q06,IQG16Q06,36,18,24
IQG15Q09,IQG15Q09,92,14,29
IQG16Q07,IQG16Q07,18,0,12
IQG09Q04,IQG09Q04,208,22,14
