ADM2_PCODE,ADM_PCODE,access_pop_education_5km,access_pop_education_10km,access_pop_education_20km,access_pop_hospitals_30min,access_pop_hospitals_1h,access_pop_hospitals_2h,access_pop_primary_healthcare_30min,access_pop_primary_healthcare_1h,access_pop_primary_healthcare_2h
IQG02Q01,IQG02Q01,207712,208206,210175,210607,214843,248626,209833,216714,248626
IQG05Q01,IQG05Q01,144197,150130,181828,183997,203479,238162,194115,203489,238162
IQG12Q01,IQG12Q01,3342,18069,19118,124,34314,46590,179,34324,46750
IQG08Q01,IQG08Q01,1354306,1460928,1505185,1511704,1511704,1511704,1511704,1511704,1511704
IQG09Q01,IQG09Q01,270841,308749,368632,362982,526338,529986,381193,527211,529784
IQG14Q01,IQG14Q01,12505,13235,17518,18171,85726,146216,20400,36734,145980
IQG15Q02,IQG15Q02,24269,27453,48644,92187,149899,155259,53652,122932,155259
IQG02Q02,IQG02Q02,2156814,2350904,2516111,2487168,2546437,2612247,2491608,2546494,2612247
IQG17Q01,IQG17Q01,38492,39484,133974,150203,152196,160823,151712,153835,160823
IQG16Q01,IQG16Q01,8096,9235,9265,9796,10698,14479,9773,11231,14479
IQG05Q02,IQG05Q02,887941,980890,1007374,1000154,1118080,1134082,1004771,1133641,1134154
IQG01Q01,IQG01Q01,367200,590417,779034,691145,887660,978410,711683,886501,978646
IQG02Q03,IQG02Q03,43683,45905,45905,43934,49302,49665,43900,49397,49665
IQG18Q01,IQG18Q01,64725,79226,152785,176138,220671,286177,175909,221707,286177
IQG15Q03,IQG15Q03,197728,255939,301839,295396,347383,347383,281866,347383,347383
IQG05Q03,IQG05Q03,292049,305088,333966,312134,395314,423936,317654,393632,423936
IQG07Q01,IQG07Q01,376472,407975,449910,458411,527262,556925,460894,527180,556925
IQG15Q04,IQG15Q04,12445,12987,30459,54445,121800,146866,26016,95485,146559
IQG13Q01,IQG13Q01,43393,93166,205372,134664,254229,389742,164759,347660,389742
IQG07Q02,IQG07Q02,1077162,1368296,1509396,1478328,1644699,1644699,1479402,1644699,1644699
IQG12Q02,IQG12Q02,447373,627648,726768,725129,739226,739346,724006,737269,739346
IQG08Q02,IQG08Q02,1501095,2566576,3785547,3926162,4288508,4309841,3748154,4288200,4309841
IQG14Q03,IQG14Q03,808721,865272,1012194,1034390,1060928,1123055,1053924,1067710,1125352
IQG01Q02,IQG01Q02,121217,152371,185200,155438,190972,211255,173914,191991,206764
IQG08Q03,IQG08Q03,2037471,2079586,2084335,2084484,2084963,2084963,2084963,2084963,2084963
IQG10Q01,IQG10Q01,282955,355222,410791,403634,601968,698018,426576,606856,697963
IQG03Q01,IQG03Q01,113822,121225,136818,138385,151138,155538,136839,150962,155538
IQG04Q01,IQG04Q01,391218,461565,507071,505334,547522,547522,491098,547522,547522
IQG18Q02,IQG18Q02,579746,638936,654439,650807,663042,672722,652758,663765,672191
IQG08Q04,IQG08Q04,111759,153546,181050,173401,200259,204850,172813,200614,204865
IQG07Q03,IQG07Q03,117221,149303,164172,203185,209103,219295,204032,209215,219295
IQG08Q05,IQG08Q05,405993,507136,642467,548100,669360,669360,637834,669360,669360
IQG14Q04,IQG14Q04,84684,90094,107588,103335,116774,125316,106855,117802,125316
IQG04Q02,IQG04Q02,232387,257667,301927,300169,350978,356620,313855,350893,356716
IQG14Q05,IQG14Q05,180765,219279,245806,262928,336410,338580,267846,332287,338580
IQG02Q04,IQG02Q04,195010,234676,238360,215847,240098,248464,215342,241041,248464
IQG15Q05,IQG15Q05,1865920,2342712,2846755,2810330,3408961,3412600,2618318,3379550,3412600
IQG10Q02,IQG10Q02,102536,140164,152667,147237,163866,166508,147714,164257,166508
IQG07Q04,IQG07Q04,249504,301125,353600,339569,383095,383095,357247,383095,383095
IQG04Q03,IQG04Q03,1364076,1421152,1477176,1495979,1525836,1532967,1480554,1525989,1532967
IQG18Q03,IQG18Q03,123430,206579,273851,300485,363604,613974,308197,371282,613974
IQG17Q04,IQG17Q04,1147038,1268626,1376786,1306831,1523830,1537225,1355092,1475358,1537225
IQG02Q05,IQG02Q05,274923,313118,347696,325151,385604,501333,352762,388772,500939
IQG01Q03,IQG01Q03,713866,768602,804972,789394,862894,895846,776945,844457,897857
IQG17Q02,IQG17Q02,379162,540607,603622,574395,649758,735727,595378,655725,736536
IQG08Q06,IQG08Q06,1785105,1791892,1791892,1791892,1791892,1791892,1791892,1791892,1791892
IQG03Q02,IQG03Q02,355403,433692,458035,464541,511844,531715,461385,516984,531715
IQG01Q04,IQG01Q04,988,13995,20138,20839,21791,33312,0,0,2984
IQG03Q03,IQG03Q03,4139,6553,6642,242,2735,5705,367,2765,5742
IQG03Q04,IQG03Q04,605800,625653,663048,634108,683559,687070,634736,683703,687070
IQG05Q04,IQG05Q04,385223,437309,514558,554284,705798,705990,462218,705798,705990
IQG17Q03,IQG17Q03,480365,505331,527813,523239,538747,540402,525647,535318,540402
IQG15Q06,IQG15Q06,56828,96661,116650,130477,136840,136901,131709,136901,136901
IQG16Q02,IQG16Q02,172759,204655,240796,229003,302061,302688,235266,295211,302688
IQG06Q01,IQG06Q01,1035420,1192911,1263136,1257380,1329526,1329526,1257135,1329305,1329526
IQG18Q04,IQG18Q04,256257,322722,395147,373083,430035,477603,399451,433276,478076
IQG08Q07,IQG08Q07,476358,476724,476830,476830,476830,476830,476830,476830,476830
IQG11Q01,IQG11Q01,25557,34339,43350,42142,47619,47828,45972,47529,47828
IQG02Q06,IQG02Q06,421974,519021,559616,543619,707658,749269,628219,707760,749812
IQG14Q02,IQG14Q02,10050,19383,23021,14689,44099,92867,21488,46630,89784
IQG01Q05,IQG01Q05,0,0,0,0,55517,66335,0,44710,66335
IQG15Q01,IQG15Q01,15736,40872,58863,66948,93127,93127,50051,93127,93127
IQG18Q05,IQG18Q05,15264,16881,21549,20039,24716,29085,23672,28877,29273
IQG16Q04,IQG16Q04,122625,176608,400331,426643,580133,585859,355493,578900,585916
IQG10Q03,IQG10Q03,19132,26014,31585,30918,46437,60701,31403,47697,60964
IQG10Q04,IQG10Q04,504666,567502,647890,665512,763844,765329,666118,758791,765329
IQG16Q03,IQG16Q03,164390,206124,343243,290998,445434,452368,288219,442643,452368
IQG06Q02,IQG06Q02,159079,195327,209678,210812,242127,406862,197457,239812,406862
IQG13Q02,IQG13Q02,21004,25571,43641,30124,54575,90834,33691,59360,90834
IQG06Q03,IQG06Q03,37019,40801,43745,44894,46820,47083,44658,46820,47083
IQG13Q03,IQG13Q03,67607,128926,165286,168322,208897,216277,112614,203569,216277
IQG06Q04,IQG06Q04,38261,48768,60090,68449,98107,98399,30182,98107,98399
IQG09Q02,IQG09Q02,729669,796963,831353,834036,845956,845956,832308,845956,845956
IQG11Q02,IQG11Q02,1657412,1836140,1932372,1914843,1934546,1937896,1927706,1934440,1937896
IQG01Q06,IQG01Q06,28893,93086,118569,119300,133397,138536,0,124893,137788
IQG06Q05,IQG06Q05,141187,160562,171374,164749,176186,176582,163607,175981,176582
IQG01Q07,IQG01Q07,59092,68136,93402,83128,217064,229591,80557,215008,227876
IQG06Q06,IQG06Q06,246397,256904,271047,273385,282504,308163,274110,282202,308163
IQG12Q03,IQG12Q03,1359624,1459594,1503843,1526004,1534659,1562836,1527156,1535151,1562836
IQG10Q05,IQG10Q05,83481,99716,117379,118410,148194,159297,115250,143471,159297
IQG10Q06,IQG10Q06,40113,47888,66056,58396,69141,76699,49609,70128,76699
IQG13Q04,IQG13Q04,1227778,1409127,1534623,1512776,1582046,1610354,1514265,1581205,1610354
IQG11Q03,IQG11Q03,113797,138283,186436,189393,341475,410352,178047,340518,410352
IQG11Q04,IQG11Q04,26788,39898,67847,59756,78805,79126,33033,77153,79126
IQG06Q07,IQG06Q07,34707,37858,41878,38424,42020,44018,37952,41942,44018
IQG06Q08,IQG06Q08,47610,63056,85227,93149,98606,101640,91740,98052,101640
IQG14Q06,IQG14Q06,41522,43241,73604,75959,95352,106043,76170,96616,106043
IQG06Q09,IQG06Q09,70483,76161,78123,81194,84070,84970,79210,84002,84970
IQG11Q05,IQG11Q05,272410,293347,325406,318090,331185,332041,316070,331300,332041
IQG16Q05,IQG16Q05,310728,336877,386881,467635,501368,508192,468135,502481,505054
IQG11Q06,IQG11Q06,291529,340542,389061,399746,427436,428593,398895,427386,428593
IQG06Q10,IQG06Q10,13898,32738,48063,49307,67241,68012,44066,65070,67838
IQG02Q07,IQG02Q07,233034,263223,266096,266137,281219,282547,267090,281219,282490
IQG15Q07,IQG15Q07,117901,170101,255851,257277,313244,313416,196003,287459,313416
IQG09Q03,IQG09Q03,594716,726955,947604,971665,1040107,1061602,970761,1040436,1061602
IQG17Q05,IQG17Q05,394355,483642,494648,497819,508589,523745,486513,507809,523745
IQG15Q08,IQG15Q08,354792,477695,632183,587384,742948,779353,544111,738326,779353
IQG16Q06,IQG16Q06,135166,183807,202170,200380,210692,220783,196025,211246,221549
IQG15Q09,IQG15Q09,263614,386828,522974,459455,587667,588633,475495,587799,588633
IQG16Q07,IQG16Q07,160051,193819,232963,125598,243046,320141,229561,265223,320633
IQG09Q04,IQG09Q04,963543,1140327,1162370,1170143,1190069,1191841,1163950,1189904,1191841
